City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,kiama,-34.6833,150.8667,22.99,70,68,4.12,AU,1730342588
205,salamanca,40.8333,-6.0,11.11,82,98,1.97,ES,1730342589
206,ancud,-41.8697,-73.8203,8.89,96,7,2.37,CL,1730342590
207,cambridge,43.3601,-80.3127,18.39,76,0,5.66,CA,1730342550
208,harper,4.375,-7.7169,24.85,89,97,2.42,LR,1730342592
209,tolanaro,-25.0319,46.9987,25.04,78,75,6.17,MG,1730342593
210,banyo,6.75,11.8167,18.43,82,25,1.63,CM,1730342595
211,san juan de miraflores,-12.1629,-76.9635,17.87,82,100,2.62,PE,1730342596
212,sakakah,29.9697,40.2064,15.76,49,2,2.41,SA,1730342597
213,pagar alam,-4.0167,103.2667,28.18,60,80,1.17,ID,1730342598
214,yanam,16.7333,82.2167,28.96,67,28,1.49,IN,1730342599
215,bloemfontein,-29.1211,26.214,8.71,71,0,0.51,ZA,1730342420
216,noyabrsk,63.1994,75.4507,-2.46,92,94,5.42,RU,1730342601
217,ust'-ilimsk,58.0006,102.6619,-0.97,90,88,2.9,RU,1730342602
218,ghat,24.9647,10.1728,20.61,32,5,0.57,LY,1730342603
219,lodja,-3.4833,23.4333,21.32,100,100,0.69,CD,1730342604
220,ola,59.5833,151.2833,-6.56,57,100,8.51,RU,1730342605
221,vila do maio,15.1333,-23.2167,25.67,77,100,4.93,CV,1730342606
222,glace bay,46.1969,-59.957,4.94,89,100,3.6,CA,1730342608
223,inhambane,-23.865,35.3833,21.85,80,2,5.28,MZ,1730342431
224,cabanas,22.9758,-82.9219,25.49,82,16,5.91,CU,1730342610
225,malmberget,67.1753,20.6549,-5.69,86,7,3.6,SE,1730342611
226,kale,50.9581,1.8521,10.2,87,6,2.22,FR,1730342612
227,tughyl,47.7252,84.2063,4.47,80,98,3.66,KZ,1730342613
228,nuuk,64.1835,-51.7216,-4.66,42,27,1.54,GL,1730342614
229,margate,51.3813,1.3862,13.16,88,100,1.57,GB,1730342099
230,mantua,45.1667,10.7833,11.66,93,11,2.21,IT,1730342616
